Name	set	ImageFile	ProtoCost	CardType	CardType2	BattleType	Keyword1	Basic	Solo	Transform
Transform	robotech	MS001Transform.png	2	Action						
Accuracy of Fire	robotech	MS002AccuracyofFire.png	2	Action						
Ben Dixon - Corporal	robotech	MS003BenDixonCorporal.png	0	Character	Pilot - Earth	M	Vermillion			
Max Sterling - Corporal	robotech	MS004MaxSterlingCorporal.png	1	Character	Pilot - Earth	M	Vermillion			
Rick Hunter - Lieutenant	robotech	MS005RickHunterLieutenant.png	2	Character	Pilot - Earth	M	Vermillion			
Cat's Eye Recon	robotech	MS006CatsEyeRecon.png	1	Mecha	Recon - Earth	LS				
Armored Battloid	robotech	MS007ArmoredBattloid.png	4	Mecha	Veritech - Earth	LS			Y	
VF-1A Ben Dixon	robotech	MS008VF1ABenDixon.png	2	Mecha	Veritech - Earth	LS	Vermillion		Y	Y
VF-1A (Intercept)	robotech	MS009VF1AIntercept.png	2	Mecha	Veritech - Earth	LS				Y
VF-1A Max Sterling	robotech	MS010VF1AMaxSterling.png	2	Mecha	Veritech - Earth	LS	Vermillion		Y	Y
VF-1A (Return)	robotech	MS011VF1AReturn.png	2	Mecha	Veritech - Earth	LS	Vermillion			Y
VF-1D Trainer	robotech	MS012VF1DTrainer.png	1	Mecha	Veritech - Earth	LS	Vermillion			Y
VF-1J (Attack)	robotech	MS013VF1JAttack.png	3	Mecha	Veritech - Earth	LS				Y
VF-1J (Intercept)	robotech	MS014VF1JIntercept.png	3	Mecha	Veritech - Earth	LS				Y
VF-1J (Recover)	robotech	MS015VF1JRecover.png	3	Mecha	Veritech - Earth	LS				Y
VF-1J Rick Hunter	robotech	MS016VF1JRickHunter.png	3	Mecha	Veritech - Earth	LS	Vermillion		Y	Y
VF-1J (Speed)	robotech	MS017VF1JSpeed.png	3	Mecha	Veritech - Earth	LS	Vermillion			Y
VF-1S (Intercept)	robotech	MS018VF1SIntercept.png	4	Mecha	Veritech - Earth	LS				Y
Massive Barrage	robotech	MS019MassiveBarrage.png	4	Action						
Gerao	robotech	MS020Gerao.png	1	Character	Pilot - Zentraedi	M-L	Khyron's Forces			
Grel	robotech	MS021Grel.png	1	Character	Officer/Pilot - Zentraedi	M-L	Khyron's Forces			
Khyron	robotech	MS022Khyron.png	3	Character	Officer/Pilot - Zentraedi	M-L	Khyron's Forces			
Zentraedi Pilot	robotech	MS023ZentraediPilot.png	0	Character	Pilot - Zentraedi	M-L	Khyron's Forces	Y		
Zentraedi Warrior	robotech	MS024ZentraediWarrior.png	0	Character	Pilot - Zentraedi	M-L		Y		
Powered Armor - Male	robotech	MS025PoweredArmorMale.png	3	Mecha	Armor - Zentraedi	LS	Khyron's Forces			
Battlepod - Cannon Fodder	robotech	MS026BattlepodCannonFodder.png	2	Mecha	Battlepod - Zentraedi	LS				
Battlepod - Expendable	robotech	MS027BattlepodExpendable.png	1	Mecha	Battlepod - Zentraedi	LS				
Battlepod - Group	robotech	MS028BattlepodGroup.png	1	Mecha	Battlepod - Zentraedi	LS				
Battlepod - Heavy Artillery	robotech	MS029BattlepodHeavyArtillery.png	2	Mecha	Battlepod - Zentraedi	LS	Khyron's Forces			
Battlepod - Light Artillery	robotech	MS030BattlepodLightArtillery.png	2	Mecha	Battlepod - Zentraedi	LS	Khyron's Forces			
Battlepod - Swarm	robotech	MS031BattlepodSwarm.png	1	Mecha	Battlepod - Zentraedi	LS	Khyron's Forces	Y		
Fighter Pod	robotech	MS032FighterPod.png	1	Mecha	Battlepod - Zentraedi	LS				
Officer's Battlepod	robotech	MS033OfficersBattlepod.png	4	Mecha	Battlepod - Zentraedi	LS				
Recon Battlepod	robotech	MS034ReconBattlepod.png	3	Mecha	Battlepod - Zentraedi	LS				
Fuel Leak	robotech	MS035FuelLeak.png	3	Action						
Showdown	robotech	MS036Showdown.png	3	Action						
Space Fold	robotech	MS037SpaceFold.png	3	Action						
Azonia	robotech	MS038Azonia.png	2	Character	Officer/Pilot - Zentraedi	F-L	Azonia's Forces			
Female Zentraedi Officer	robotech	MS039FemaleZentraediOfficer.png	1	Character	Officer/Pilot - Zentraedi	F-L	Azonia's Forces			
Female Zentraedi Pilot	robotech	MS040FemaleZentraediPilot.png	0	Character	Pilot - Zentraedi	F-L	Azonia's Forces	Y		
Female Zentraedi Warrior	robotech	MS041FemaleZentraediWarrior.png	0	Character	Pilot - Zentraedi	F-L	Azonia's Forces	Y		
Miriya	robotech	MS042Miriya.png	3	Character	Pilot - Zentraedi	F-L	Azonia's Forces			
Quadrano	robotech	MS043Quadrano.png	3	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - Ace	robotech	MS044QuadranoAce.png	3	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - Basher	robotech	MS045QuadranoBasher.png	1	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - Blitz	robotech	MS046QuadranoBlitz.png	1	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - Burn	robotech	MS047QuadranoBurn.png	2	Mecha	Armor - Zentraedi	LS				
Quadrano - Counter Strike	robotech	MS048QuadranoCounterStrike.png	2	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - First Strike	robotech	MS049QuadranoFirstStrike.png	1	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - Kamikaze	robotech	MS050QuadranoKamikaze.png	2	Mecha	Armor - Zentraedi	LS				
Quadrano - Miriya	robotech	MS051QuadranoMiriya.png	4	Mecha	Armor - Zentraedi	LS	Azonia's Forces		Y	
Quadrano - Overkill	robotech	MS052QuadranoOverkill.png	3	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - Recall	robotech	MS053QuadranoRecall.png	3	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - Smasher	robotech	MS054QuadranoSmasher.png	1	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - Thrasher	robotech	MS055QuadranoThrasher.png	1	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Quadrano - VX	robotech	MS056QuadranoVX.png	2	Mecha	Armor - Zentraedi	LS	Azonia's Forces			
Command Ship - Azonia	robotech	MS057CommandShipAzonia.png	5	Mecha	Vessel - Zentraedi	LS	Azonia's Forces		Y	
Destroyer - Resupply	robotech	MS058DestroyerResupply.png	2	Mecha	Vessel - Zentraedi	LS	Azonia's Forces			
Destroyer - Support	robotech	MS059DestroyerSupport.png	3	Mecha	Vessel - Zentraedi	LS	Azonia's Forces			
Disable Mecha	robotech	MS060DisableMecha.png	3	Action						
Evasive Maneuver	robotech	MS061EvasiveManeuver.png	3	Action						
Fokker's Feint	robotech	MS062FokkersFeint.png	3	Action						
In Disguise	robotech	MS063InDisguise.png	1	Action						
Mutiny	robotech	MS064Mutiny.png	3	Action						
Repair	robotech	MS065Repair.png	2	Action						
Return to Carrier Bay	robotech	MS066ReturntoCarrierBay.png	2	Action						
Wedding Bells	robotech	MS067WeddingBells.png	4	Action						
Bobby	robotech	MS068Bobby.png	1	Character	Pilot - Earth	M	Blue Squadron		Y	
Dana Sterling	robotech	MS069DanaSterling.png	0	Character	Civilian - Earth/Zentraedi					
Max Sterling - Commander	robotech	MS070MaxSterlingCommander.png	2	Character	Pilot - Earth	M				
Miriya - Mrs. Sterling	robotech	MS071MiriyaMrsSterling.png	2	Character	Pilot - Earth/Zentraedi	F				
Pilot - Blue Squadron	robotech	MS072PilotBlueSquadron.png	0	Character	Pilot - Earth	M	Blue Squadron	Y		
Armored Battloid - Upgrade	robotech	MS073ArmoredBattloidUpgrade.png	4	Mecha	Veritech - Earth	LS	Blue Squadron			
VF-1A	robotech	MS074VF1A.png	2	Mecha	Veritech - Earth	LS	Blue Squadron	Y		Y
VF-1A Collateral Damage	robotech	MS075VF1ACollateralDamage.png	2	Mecha	Veritech - Earth	LS	Blue Squadron			Y
VF-1A Immobilize	robotech	MS076VF1AImmobilize.png	2	Mecha	Veritech - Earth	LS	Blue Squadron			Y
VF-1A Refuel	robotech	MS077VF1ARefuel.png	2	Mecha	Veritech - Earth	LS	Blue Squadron			Y
